,ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
85,3,Native American,2018,2018,22129,11838.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
86,3,Native American,2018,2018,79924,24950.0,"Fulton County, GA",05000US13121,fulton-county-ga
87,4,Asian,2018,2018,67407,17753.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
88,4,Asian,2018,2018,100401,11123.0,"Fulton County, GA",05000US13121,fulton-county-ga
89,6,Other,2018,2018,94371,40995.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
90,6,Other,2018,2018,75422,43271.0,"Fulton County, GA",05000US13121,fulton-county-ga
91,7,Two Or More,2018,2018,70485,17845.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
92,7,Two Or More,2018,2018,66588,12192.0,"Fulton County, GA",05000US13121,fulton-county-ga
93,8,White Non-Hispanic,2018,2018,100256,3806.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
94,8,White Non-Hispanic,2018,2018,104994,6553.0,"Fulton County, GA",05000US13121,fulton-county-ga
95,9,Hispanic,2018,2018,48807,8272.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
96,9,Hispanic,2018,2018,52162,6244.0,"Fulton County, GA",05000US13121,fulton-county-ga
97,0,Total,2018,2018,65345,2632.0,"Atlanta, GA",16000US1304000,atlanta-ga
98,1,White,2018,2018,102693,4706.0,"Atlanta, GA",16000US1304000,atlanta-ga
99,2,Black,2018,2018,35048,4162.0,"Atlanta, GA",16000US1304000,atlanta-ga
100,4,Asian,2018,2018,71625,13501.999999999998,"Atlanta, GA",16000US1304000,atlanta-ga
101,6,Other,2018,2018,73559,19037.0,"Atlanta, GA",16000US1304000,atlanta-ga
102,7,Two Or More,2018,2018,70179,14627.999999999998,"Atlanta, GA",16000US1304000,atlanta-ga
103,8,White Non-Hispanic,2018,2018,104408,7510.999999999999,"Atlanta, GA",16000US1304000,atlanta-ga
104,9,Hispanic,2018,2018,66967,14503.000000000002,"Atlanta, GA",16000US1304000,atlanta-ga
105,0,Total,2018,2018,69464,1074.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
106,1,White,2018,2018,80470,948.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
107,2,Black,2018,2018,54456,1749.9999999999998,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
108,3,Native American,2018,2018,33141,11622.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
109,4,Asian,2018,2018,85845,3370.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
110,6,Other,2018,2018,53272,5470.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
111,7,Two Or More,2018,2018,63788,6402.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
112,8,White Non-Hispanic,2018,2018,83323,1294.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
113,9,Hispanic,2018,2018,55163,2641.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
114,0,Total,2017,2017,60336,86.0,United States,01000US,united-states
115,1,White,2017,2017,63704,144.0,United States,01000US,united-states
116,2,Black,2017,2017,40232,193.0,United States,01000US,united-states
117,3,Native American,2017,2017,41882,629.0,United States,01000US,united-states
118,4,Asian,2017,2017,83456,765.0,United States,01000US,united-states
119,5,Pacific Islander,2017,2017,60734,2982.0,United States,01000US,united-states
120,6,Other,2017,2017,47219,377.0,United States,01000US,united-states
121,7,Two Or More,2017,2017,56519,697.0,United States,01000US,united-states
122,8,White Non-Hispanic,2017,2017,65845,127.0,United States,01000US,united-states
123,9,Hispanic,2017,2017,49793,257.0,United States,01000US,united-states
124,0,Total,2017,2017,56183,572.0,Georgia,04000US13,georgia
125,1,White,2017,2017,63900,984.9999999999999,Georgia,04000US13,georgia
126,2,Black,2017,2017,42696,1056.0,Georgia,04000US13,georgia
127,3,Native American,2017,2017,49294,13619.0,Georgia,04000US13,georgia
128,4,Asian,2017,2017,77389,4704.0,Georgia,04000US13,georgia
129,5,Pacific Islander,2017,2017,51853,11797.0,Georgia,04000US13,georgia
130,6,Other,2017,2017,40309,3584.0,Georgia,04000US13,georgia
131,7,Two Or More,2017,2017,50719,4617.0,Georgia,04000US13,georgia
132,8,White Non-Hispanic,2017,2017,65420,729.0,Georgia,04000US13,georgia
133,9,Hispanic,2017,2017,46144,1795.0,Georgia,04000US13,georgia
134,0,Total,2017,2017,61827,2120.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
135,0,Total,2017,2017,65037,1921.9999999999998,"Fulton County, GA",05000US13121,fulton-county-ga
136,1,White,2017,2017,90052,4656.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
137,1,White,2017,2017,99950,4734.0,"Fulton County, GA",05000US13121,fulton-county-ga
138,2,Black,2017,2017,51017,1951.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
139,2,Black,2017,2017,40220,2223.0,"Fulton County, GA",05000US13121,fulton-county-ga
140,3,Native American,2017,2017,32979,9325.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
141,3,Native American,2017,2017,56352,10771.0,"Fulton County, GA",05000US13121,fulton-county-ga
142,4,Asian,2017,2017,60692,9316.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
143,4,Asian,2017,2017,93690,8172.0,"Fulton County, GA",05000US13121,fulton-county-ga
144,6,Other,2017,2017,33250,26901.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
145,6,Other,2017,2017,55212,21151.0,"Fulton County, GA",05000US13121,fulton-county-ga
146,7,Two Or More,2017,2017,55306,26014.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
147,7,Two Or More,2017,2017,62715,24134.0,"Fulton County, GA",05000US13121,fulton-county-ga
148,8,White Non-Hispanic,2017,2017,95809,5350.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
149,8,White Non-Hispanic,2017,2017,102053,2686.0,"Fulton County, GA",05000US13121,fulton-county-ga
150,9,Hispanic,2017,2017,51275,4725.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
151,9,Hispanic,2017,2017,56206,8021.0,"Fulton County, GA",05000US13121,fulton-county-ga
152,0,Total,2017,2017,57597,3481.0000000000005,"Atlanta, GA",16000US1304000,atlanta-ga
153,1,White,2017,2017,104800,7712.999999999999,"Atlanta, GA",16000US1304000,atlanta-ga
154,2,Black,2017,2017,32074,1807.0,"Atlanta, GA",16000US1304000,atlanta-ga
155,3,Native American,2017,2017,55558,53442.0,"Atlanta, GA",16000US1304000,atlanta-ga
156,4,Asian,2017,2017,77052,10572.0,"Atlanta, GA",16000US1304000,atlanta-ga
157,6,Other,2017,2017,55826,29125.999999999996,"Atlanta, GA",16000US1304000,atlanta-ga
158,7,Two Or More,2017,2017,48210,21202.0,"Atlanta, GA",16000US1304000,atlanta-ga
159,8,White Non-Hispanic,2017,2017,106413,8253.0,"Atlanta, GA",16000US1304000,atlanta-ga
160,9,Hispanic,2017,2017,55864,10910.0,"Atlanta, GA",16000US1304000,atlanta-ga
161,0,Total,2017,2017,65381,760.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
162,1,White,2017,2017,76097,1201.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
163,2,Black,2017,2017,51397,1062.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
164,3,Native American,2017,2017,42446,10267.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
165,4,Asian,2017,2017,81871,4650.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
166,6,Other,2017,2017,45265,4820.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
167,7,Two Or More,2017,2017,62435,12440.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
168,8,White Non-Hispanic,2017,2017,78386,1777.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
169,9,Hispanic,2017,2017,49874,2493.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
170,0,Total,2016,2016,57617,115.0,United States,01000US,united-states
171,1,White,2016,2016,61349,88.0,United States,01000US,united-states
172,2,Black,2016,2016,38555,248.0,United States,01000US,united-states
173,3,Native American,2016,2016,39719,1029.0,United States,01000US,united-states
174,4,Asian,2016,2016,80720,446.0,United States,01000US,united-states
175,5,Pacific Islander,2016,2016,57112,3218.0,United States,01000US,united-states
176,6,Other,2016,2016,44798,494.99999999999994,United States,01000US,united-states
177,7,Two Or More,2016,2016,53114,685.0,United States,01000US,united-states
178,8,White Non-Hispanic,2016,2016,63155,127.0,United States,01000US,united-states
179,9,Hispanic,2016,2016,46882,210.0,United States,01000US,united-states
180,0,Total,2016,2016,53559,710.0,Georgia,04000US13,georgia
181,1,White,2016,2016,61005,601.0,Georgia,04000US13,georgia
182,2,Black,2016,2016,41337,542.0,Georgia,04000US13,georgia
183,3,Native American,2016,2016,28548,7919.0,Georgia,04000US13,georgia
184,4,Asian,2016,2016,75632,5167.0,Georgia,04000US13,georgia
185,6,Other,2016,2016,41354,3348.0,Georgia,04000US13,georgia
186,7,Two Or More,2016,2016,57396,5011.0,Georgia,04000US13,georgia
187,8,White Non-Hispanic,2016,2016,62023,674.0,Georgia,04000US13,georgia
188,9,Hispanic,2016,2016,46389,1649.0,Georgia,04000US13,georgia
189,0,Total,2016,2016,56109,2380.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
190,0,Total,2016,2016,63510,2970.0,"Fulton County, GA",05000US13121,fulton-county-ga
191,1,White,2016,2016,82332,3747.9999999999995,"DeKalb County, GA",05000US13089,dekalb-county-ga
192,1,White,2016,2016,91976,4022.0000000000005,"Fulton County, GA",05000US13121,fulton-county-ga
193,2,Black,2016,2016,45483,3282.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
194,2,Black,2016,2016,38516,2127.0,"Fulton County, GA",05000US13121,fulton-county-ga
195,3,Native American,2016,2016,18110,7292.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
196,3,Native American,2016,2016,39137,25508.0,"Fulton County, GA",05000US13121,fulton-county-ga
197,4,Asian,2016,2016,52234,10401.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
198,4,Asian,2016,2016,95867,11960.0,"Fulton County, GA",05000US13121,fulton-county-ga
199,5,Pacific Islander,2016,2016,103912,26655.0,"Fulton County, GA",05000US13121,fulton-county-ga
