SalesKey	Region	Month	Median price	Year	MonthNo
281	Collier Heights	February	30000	2012	2
282	Collier Hills	February	458000	2012	2
283	Collier Hills North	February	575000	2012	2
284	Colonial	February	175000	2012	2
285	Constitution	February	23000	2012	2
286	Cross Creek	February	51000	2012	2
287	Custer-Mcdonough-Guice	February	11000	2012	2
288	Deerwood	February	21000	2012	2
289	Dixie Hills	February	9000	2012	2
290	Downtown Atlanta	February	94000	2012	2
291	East Atlanta	February	85000	2012	2
292	East Atlanta Village	February	50000	2012	2
293	East Chastain Park	February	49000	2012	2
294	Edgewood	February	70000	2012	2
295	Elmco Estates	February	null	2012	2
296	English Avenue	February	15000	2012	2
297	English Park	February	12000	2012	2
298	Fairburn	February	null	2012	2
299	Fairburn Heights	February	16000	2012	2
300	Fairburn Mays	February	24000	2012	2
301	Fairburn Road-Wisteria Lane	February	null	2012	2
302	Fairburn Tell	February	null	2012	2
303	Fairlie-Poplar	February	58000	2012	2
304	Fairway Acres	February	null	2012	2
305	Fernleaf	February	494000	2012	2
306	Five Points District	February	24000	2012	2
307	Florida Heights	February	23000	2012	2
308	Garden Hills	February	352000	2012	2
309	Georgia State University	February	110000	2012	2
310	Glenrose Heights	February	12000	2012	2
311	Glenwood Park	February	305000	2012	2
312	Grant Park	February	135000	2012	2
313	Green Forest Acres	February	38000	2012	2
314	Greenbriar	February	45000	2012	2
315	Grove Park	February	10000	2012	2
316	Hammond Park	February	13000	2012	2
317	Hanover West	February	510000	2012	2
318	Harland Terrace	February	21000	2012	2
319	Harris Chiles	February	null	2012	2
320	Harris Manor	February	null	2012	2
321	Heritage Valley	February	null	2012	2
322	High Point	February	95000	2012	2
323	Hills Park	February	227000	2012	2
324	Historic Brookhaven	February	512000	2012	2
325	Home Park	February	140000	2012	2
326	Hunter Hills	February	22000	2012	2
327	Inman Park	February	275000	2012	2
328	Intown South	February	28000	2012	2
329	Joyland	February	7000	2012	2
330	Kings Forest	February	99000	2012	2
331	Kingswood	February	740000	2012	2
332	Knight Park-Howell Station	February	158000	2012	2
333	Lakewood	February	37000	2012	2
334	Lakewood Heights	February	16000	2012	2
335	Laurens Valley	February	23000	2012	2
336	Leila Valley	February	18000	2012	2
337	Lenox	February	215000	2012	2
338	Lincoln	February	8000	2012	2
339	Lindbergh-Morosgo	February	253000	2012	2
340	Little Five Points	February	40000	2012	2
341	Loring Heights	February	256000	2012	2
342	Luckie Marietta	February	438000	2012	2
343	Magnum Manor	February	165000	2012	2
344	Margaret Mitchell	February	328000	2012	2
345	Marietta Street Artery	February	null	2012	2
346	Martin Luther King Jr. Landmark District	February	180000	2012	2
347	Martin Manor	February	145000	2012	2
348	Mays	February	50000	2012	2
349	Mechanicsville	February	28000	2012	2
350	Memorial Park	February	525000	2012	2
351	Midtown	February	144000	2012	2
352	Midwest Cascade	February	148000	2012	2
353	Monroe Heights	February	78000	2012	2
354	Morningside-Lenox Park	February	320000	2012	2
355	Mount Paran	February	1410000	2012	2
356	Mount Paran Parkway	February	null	2012	2
357	Mozley Park	February	21000	2012	2
358	Niskey Lake	February	null	2012	2
359	North Buckhead	February	235000	2012	2
360	Northeast Atlanta	February	160000	2012	2
361	Northwest Atlanta	February	55000	2012	2
362	Norwood Manor	February	10000	2012	2
363	Oakland	February	null	2012	2
364	Oakland City	February	13000	2012	2
365	Old Fourth Ward	February	76000	2012	2
366	Old Gordon	February	null	2012	2
367	Orchard Knob	February	17000	2012	2
368	Ormewood Park	February	146000	2012	2
369	Paces	February	430000	2012	2
370	Peachtree Battle	February	556000	2012	2
371	Peachtree Center	February	35000	2012	2
372	Peachtree Heights East	February	563000	2012	2
373	Peachtree Heights West	February	114000	2012	2
374	Peachtree Hills	February	315000	2012	2
375	Peachtree Park	February	364000	2012	2
376	Penelope	February	13000	2012	2
377	Peoplestown	February	52000	2012	2
378	Perkerson	February	26000	2012	2
379	Peyton Forest	February	41000	2012	2
380	Piedmont Heights	February	378000	2012	2
381	Pine Hills	February	157000	2012	2
382	Pittsburgh	February	11000	2012	2
383	Pleasant Hill	February	850000	2012	2
384	Polar Rock	February	11000	2012	2
385	Pomona Park	February	null	2012	2
386	Poncey-Highland	February	132000	2012	2
387	Princeton Lakes	February	88000	2012	2
388	Randall Mill	February	1500000	2012	2
389	Rebel Valley Forest	February	20000	2012	2
390	Reynoldstown	February	99000	2012	2
391	Ridgecrest Forest	February	15000	2012	2
392	Ridgedale Park	February	525000	2012	2
393	Ridgewood Heights	February	223000	2012	2
394	Riverside	February	55000	2012	2
395	Rockdale	February	225000	2012	2
396	Rosedale Heights	February	13000	2012	2
397	Sandtown	February	152000	2012	2
398	Scotts Crossing	February	null	2012	2
399	Sherwood Forest	February	null	2012	2
400	SoNo	February	58000	2012	2
401	South Atlanta	February	8000	2012	2
402	South Downtown	February	35000	2012	2
403	South River Gardens	February	28000	2012	2
404	South Tuxedo Park	February	455000	2012	2
405	Southside	February	20000	2012	2
406	Southwest Atlanta	February	45000	2012	2
407	Springlake	February	440000	2012	2
408	Summerhill	February	62000	2012	2
409	Swallow Circle-Baywood	February	12000	2012	2
410	Sweet Auburn	February	null	2012	2
411	Sylvan Hills	February	19000	2012	2
412	Thomasville Heights	February	null	2012	2
413	Tuxedo Park	February	1050000	2012	2
414	Underwood Hills	February	58000	2012	2
415	Venetian Hills	February	15000	2012	2
416	Vine City	February	57000	2012	2
417	Virginia Highland	February	357000	2012	2
418	Washington Park	February	15000	2012	2
419	Wesley Battle	February	983000	2012	2
420	West End	February	50000	2012	2
421	West Highlands	February	216000	2012	2
422	West Lake	February	null	2012	2
423	West Manor	February	70000	2012	2
424	West Paces Ferry	February	368000	2012	2
425	Westhaven	February	50000	2012	2
426	Westminster-Milmar	February	438000	2012	2
427	Westover Plantation	February	125000	2012	2
428	Westside	February	19000	2012	2
429	Westview	February	15000	2012	2
430	Westview Cemetery	February	null	2012	2
431	Westwood Terrace	February	25000	2012	2
432	Whitewater Creek	February	588000	2012	2
433	Whittier Mill Village	February	195000	2012	2
434	Wildwood	February	170000	2012	2
435	Wilson Mill Meadows	February	19000	2012	2
436	Wisteria Gardens	February	null	2012	2
437	Woodfield	February	490000	2012	2
438	Woodland Hills	February	null	2012	2
439	Wyngate	February	1525000	2012	2
440	Adair Park	March	25000	2012	3
441	Adams Park	March	26000	2012	3
442	Adamsville	March	10000	2012	3
443	Almond Park	March	10000	2012	3
444	Ansley Park	March	730000	2012	3
445	Arden-Habersham	March	null	2012	3
446	Ardmore	March	367000	2012	3
447	Argonne Forest	March	520000	2012	3
448	Arlington Estates	March	24000	2012	3
449	Ashview Heights	March	15000	2012	3
450	Atkins Park	March	296000	2012	3
451	Atlanta University Center	March	40000	2012	3
452	Atlantic Station	March	115000	2012	3
453	Audobon Forest	March	87000	2012	3
454	Audobon Forest West	March	null	2012	3
455	Baker Hills	March	22000	2012	3
456	Bakers Ferry	March	21000	2012	3
457	Bankhead	March	6000	2012	3
458	Bankhead-Bolton	March	null	2012	3
459	Beecher Hills	March	120000	2012	3
460	Ben Hill	March	84000	2012	3
461	Ben Hill Forest	March	null	2012	3
462	Ben Hill Terrace	March	90000	2012	3
463	Benteen Park	March	113000	2012	3
464	Berkeley Park	March	14000	2012	3
465	Betmar Lavilla	March	33000	2012	3
466	Blair Villa-Poole Creek	March	null	2012	3
467	Blandtown	March	182000	2012	3
